HappinessRank,Country,Region,HappinessScore,Economy,Family,Health,Freedom,Trust,Generosity,Year
22,Slovenia,Central and Eastern Europe,"6,630","1,810","1,249","0,769","0,685","0,115","0,118",2022
23,Costa Rica,Latin America and Caribbean,"6,582","1,584","1,054","0,744","0,661","0,102","0,089",2022
24,United Arab Emirates,Middle East and Northern Africa,"6,576","1,998","0,980","0,633","0,702","0,250","0,204",2022
25,Saudi Arabia,Middle East and Northern Africa,"6,523","1,870","1,092","0,577","0,651","0,180","0,078",2022
26,Taiwan Province of China,-,"6,512","1,897","1,095","0,733","0,542","0,168","0,075",2022
27,Singapore,Southeastern Asia,"6,480","2,149","1,127","0,851","0,672","0,587","0,163",2022
28,Romania,Central and Eastern Europe,"6,477","1,719","1,006","0,655","0,605","0,006","0,039",2022
29,Spain,Western Europe,"6,476","1,808","1,211","0,808","0,505","0,149","0,101",2022
30,Uruguay,Latin America and Caribbean,"6,474","1,615","1,180","0,672","0,665","0,265","0,103",2022
31,Italy,Western Europe,"6,467","1,834","1,052","0,801","0,412","0,059","0,085",2022
32,Kosovo,Central and Eastern Europe,"6,455","1,362","0,949","0,569","0,599","0,035","0,309",2022
33,Malta,Western Europe,"6,447","1,838","1,169","0,789","0,679","0,166","0,174",2022
34,Lithuania,Central and Eastern Europe,"6,446","1,804","1,204","0,659","0,496","0,077","0,053",2022
35,Slovakia,Central and Eastern Europe,"6,391","1,736","1,232","0,707","0,479","0,025","0,118",2022
36,Estonia,Central and Eastern Europe,"6,341","1,793","1,232","0,728","0,689","0,333","0,123",2022
37,Panama,Latin America and Caribbean,"6,309","1,715","1,107","0,709","0,592","0,051","0,049",2022
38,Brazil,Latin America and Caribbean,"6,293","1,462","1,044","0,615","0,546","0,134","0,131",2022
39,Guatemala*,-,"6,262","1,274","0,831","0,522","0,662","0,115","0,112",2022
40,Kazakhstan,Central and Eastern Europe,"6,234","1,668","1,220","0,611","0,584","0,157","0,134",2022
41,Cyprus,Western Europe,"6,221","1,815","0,909","0,819","0,448","0,062","0,123",2022
42,Latvia,Central and Eastern Europe,"6,180","1,732","1,221","0,637","0,502","0,090","0,075",2022
43,Serbia,Central and Eastern Europe,"6,178","1,550","1,086","0,658","0,546","0,088","0,219",2022
44,Chile,Latin America and Caribbean,"6,172","1,651","1,080","0,748","0,460","0,069","0,124",2022
45,Nicaragua,Latin America and Caribbean,"6,165","1,105","1,029","0,617","0,617","0,212","0,168",2022
46,Mexico,Latin America and Caribbean,"6,128","1,552","0,886","0,623","0,621","0,115","0,092",2022
47,Croatia,Central and Eastern Europe,"6,125","1,705","1,183","0,709","0,535","0,000","0,109",2022
48,Poland,Central and Eastern Europe,"6,123","1,758","1,174","0,712","0,523","0,140","0,124",2022
49,El Salvador,Latin America and Caribbean,"6,120","1,265","0,768","0,607","0,666","0,212","0,089",2022
50,Kuwait*,-,"6,106","1,904","0,983","0,747","0,617","0,147","0,087",2022
51,Hungary,Central and Eastern Europe,"6,086","1,748","1,233","0,668","0,485","0,064","0,078",2022
52,Mauritius,Sub-Saharan Africa,"6,071","1,591","1,116","0,568","0,589","0,107","0,131",2022
53,Uzbekistan,Central and Eastern Europe,"6,063","1,219","1,092","0,600","0,716","0,240","0,283",2022
54,Japan,Eastern Asia,"6,039","1,835","1,089","0,866","0,537","0,218","0,007",2022
55,Honduras,Latin America and Caribbean,"6,022","1,111","0,885","0,555","0,582","0,076","0,202",2022
56,Portugal,Western Europe,"6,016","1,760","1,078","0,777","0,655","0,039","0,016",2022
57,Argentina,Latin America and Caribbean,"5,967","1,592","1,102","0,662","0,555","0,085","0,081",2022
58,Greece,Western Europe,"5,948","1,703","0,980","0,774","0,249","0,108","0,015",2022
59,South Korea,Eastern Asia,"5,935","1,851","0,886","0,841","0,414","0,176","0,111",2022
60,Philippines,Southeastern Asia,"5,904","1,268","0,912","0,514","0,678","0,142","0,107",2022
61,Thailand,Southeastern Asia,"5,891","1,535","1,096","0,697","0,617","0,026","0,321",2022
62,Moldova,Central and Eastern Europe,"5,857","1,417","1,008","0,597","0,561","0,028","0,102",2022
63,Jamaica,Latin America and Caribbean,"5,850","1,296","1,045","0,646","0,567","0,053","0,080",2022
64,Kyrgyzstan,Central and Eastern Europe,"5,828","1,069","1,109","0,638","0,693","0,025","0,208",2022
65,Belarus*,-,"5,821","1,562","1,157","0,629","0,342","0,282","0,040",2022
66,Colombia,Latin America and Caribbean,"5,781","1,452","0,929","0,720","0,545","0,077","0,087",2022
67,Bosnia and Herzegovina,Central and Eastern Europe,"5,768","1,468","1,068","0,665","0,448","0,006","0,244",2022
68,Mongolia,Eastern Asia,"5,761","1,393","1,197","0,467","0,398","0,059","0,247",2022
69,Dominican Republic,Latin America and Caribbean,"5,737","1,538","1,003","0,577","0,606","0,179","0,084",2022
70,Malaysia,Southeastern Asia,"5,711","1,689","0,938","0,620","0,654","0,126","0,213",2022
71,Bolivia,Latin America and Caribbean,"5,600","1,256","0,880","0,555","0,627","0,064","0,112",2022
72,China,Eastern Asia,"5,585","1,508","0,958","0,705","0,656","0,142","0,099",2022
73,Paraguay,Latin America and Caribbean,"5,578","1,409","1,130","0,624","0,629","0,059","0,171",2022
74,Peru,Latin America and Caribbean,"5,559","1,397","0,865","0,735","0,545","0,037","0,090",2022
75,Montenegro,Central and Eastern Europe,"5,547","1,573","1,023","0,659","0,460","0,077","0,135",2022
76,Ecuador,Latin America and Caribbean,"5,533","1,352","0,879","0,708","0,565","0,083","0,080",2022
77,Vietnam,Southeastern Asia,"5,485","1,252","0,932","0,611","0,707","0,105","0,143",2022
78,Turkmenistan*,-,"5,474","1,484","1,319","0,516","0,649","0,032","0,314",2022
79,North Cyprus*,-,"5,467","1,815","0,888","0,819","0,523","0,213","0,130",2022
80,Russia,Central and Eastern Europe,"5,459","1,685","1,095","0,586","0,401","0,080","0,117",2022
81,Hong Kong S.A.R. of China,-,"5,425","1,957","0,954","0,942","0,400","0,383","0,147",2022
82,Armenia,Central and Eastern Europe,"5,399","1,434","0,820","0,668","0,558","0,210","0,054",2022
83,Tajikistan,Central and Eastern Europe,"5,377","0,966","1,005","0,518","0,572","0,304","0,118",2022
84,Nepal,Southern Asia,"5,377","0,984","0,784","0,499","0,519","0,130","0,237",2022
85,Bulgaria,Central and Eastern Europe,"5,371","1,625","1,163","0,640","0,563","0,021","0,123",2022
86,Libya*,-,"5,330","1,476","0,943","0,606","0,477","0,179","0,106",2022
87,Indonesia,Southeastern Asia,"5,240","1,382","0,883","0,539","0,620","0,047","0,468",2022
88,Ivory Coast,Sub-Saharan Africa,"5,235","1,094","0,442","0,322","0,451","0,124","0,149",2022
89,North Macedonia,-,"5,199","1,505","0,863","0,637","0,488","0,031","0,215",2022
90,Albania,Central and Eastern Europe,"5,199","1,439","0,646","0,719","0,511","0,028","0,138",2022
91,South Africa,Sub-Saharan Africa,"5,194","1,425","1,088","0,361","0,442","0,046","0,089",2022
92,Azerbaijan*,-,"5,173","1,458","1,093","0,560","0,601","0,341","0,023",2022
93,Gambia*,-,"5,164","0,785","0,621","0,369","0,367","0,103","0,388",2022
94,Bangladesh,Southern Asia,"5,155","1,060","0,614","0,581","0,622","0,187","0,125",2022
95,Laos,Southeastern Asia,"5,140","1,239","0,654","0,479","0,679","0,184","0,197",2022
96,Algeria,Middle East and Northern Africa,"5,122","1,363","0,970","0,643","0,146","0,150","0,106",2022
97,Liberia*,-,"5,122","0,636","0,670","0,309","0,405","0,080","0,178",2022
98,Ukraine,Central and Eastern Europe,"5,084","1,411","1,081","0,583","0,473","0,017","0,188",2022
99,Congo,-,"5,075","0,950","0,405","0,355","0,431","0,146","0,130",2022
100,Morocco,Middle East and Northern Africa,"5,060","1,208","0,268","0,565","0,492","0,102","0,020",2022
101,Mozambique,Sub-Saharan Africa,"5,048","0,578","0,660","0,191","0,593","0,200","0,185",2022
102,Cameroon,Sub-Saharan Africa,"5,048","0,968","0,672","0,317","0,397","0,074","0,152",2022
103,Senegal,Sub-Saharan Africa,"5,046","0,933","0,530","0,447","0,494","0,081","0,143",2022
104,Niger*,-,"5,003","0,570","0,560","0,326","0,571","0,145","0,165",2022
105,Georgia,Central and Eastern Europe,"4,973","1,467","0,612","0,595","0,508","0,208","0,000",2022
106,Gabon,Sub-Saharan Africa,"4,958","1,459","0,738","0,396","0,343","0,099","0,032",2022
107,Iraq,Middle East and Northern Africa,"4,941","1,289","0,682","0,554","0,328","0,046","0,147",2022
108,Venezuela,Latin America and Caribbean,"4,925","0,000","0,968","0,578","0,283","0,082","0,225",2022
109,Guinea,Sub-Saharan Africa,"4,891","0,848","0,566","0,275","0,334","0,116","0,214",2022
110,Iran,Middle East and Northern Africa,"4,888","1,410","0,741","0,642","0,281","0,146","0,241",2022
111,Ghana,Sub-Saharan Africa,"4,872","1,112","0,595","0,409","0,500","0,056","0,230",2022
112,Turkey,Middle East and Northern Africa,"4,744","1,707","0,865","0,702","0,209","0,115","0,087",2022
113,Burkina Faso,Sub-Saharan Africa,"4,670","0,779","0,565","0,320","0,382","0,126","0,186",2022
114,Cambodia,Southeastern Asia,"4,640","1,019","0,732","0,505","0,740","0,068","0,166",2022
115,Benin,Sub-Saharan Africa,"4,623","0,932","0,064","0,335","0,479","0,230","0,127",2022
116,Comoros*,-,"4,609","0,899","0,476","0,424","0,185","0,125","0,195",2022
117,Uganda,Sub-Saharan Africa,"4,603","0,777","0,875","0,418","0,402","0,066","0,222",2022
118,Nigeria,Sub-Saharan Africa,"4,552","1,079","0,732","0,300","0,444","0,038","0,175",2022
119,Kenya,Sub-Saharan Africa,"4,543","1,032","0,605","0,401","0,440","0,082","0,322",2022
120,Tunisia,Middle East and Northern Africa,"4,516","1,350","0,596","0,656","0,316","0,029","0,029",2022
121,Pakistan,Southern Asia,"4,516","1,049","0,413","0,374","0,448","0,112","0,181",2022
122,Palestinian Territories*,-,"4,483","1,148","0,957","0,521","0,336","0,079","0,073",2022
123,Mali,Sub-Saharan Africa,"4,479","0,792","0,483","0,311","0,350","0,042","0,128",2022
124,Namibia,-,"4,459","1,292","0,877","0,354","0,384","0,071","0,067",2022
125,"Eswatini, Kingdom of*",-,"4,396","1,274","0,786","0,197","0,259","0,154","0,038",2022
126,Myanmar,Southeastern Asia,"4,394","1,038","0,829","0,491","0,513","0,194","0,452",2022
127,Sri Lanka,Southern Asia,"4,362","1,415","0,934","0,660","0,529","0,079","0,150",2022
128,Madagascar*,-,"4,339","0,670","0,645","0,378","0,202","0,154","0,143",2022
129,Egypt,Middle East and Northern Africa,"4,288","1,388","0,732","0,548","0,469","0,254","0,041",2022
130,Chad*,-,"4,251","0,662","0,506","0,225","0,180","0,077","0,182",2022
131,Ethiopia,Sub-Saharan Africa,"4,241","0,788","0,809","0,457","0,472","0,136","0,205",2022
132,Yemen*,-,"4,197","0,691","1,043","0,384","0,330","0,098","0,090",2022
133,Mauritania*,-,"4,153","1,100","0,865","0,450","0,304","0,138","0,088",2022
134,Jordan,Middle East and Northern Africa,"4,152","1,324","0,724","0,675","0,476","0,200","0,058",2022
135,Togo,Sub-Saharan Africa,"4,112","0,771","0,322","0,360","0,292","0,132","0,174",2022
136,India,Southern Asia,"3,777","1,167","0,376","0,471","0,647","0,123","0,198",2022
137,Zambia,Sub-Saharan Africa,"3,760","0,930","0,577","0,306","0,525","0,083","0,203",2022
138,Malawi,Sub-Saharan Africa,"3,750","0,648","0,279","0,388","0,477","0,157","0,140",2022
139,Tanzania,Sub-Saharan Africa,"3,702","0,848","0,597","0,425","0,578","0,270","0,248",2022
140,Sierra Leone,Sub-Saharan Africa,"3,574","0,686","0,416","0,273","0,387","0,055","0,202",2022
141,Lesotho*,-,"3,512","0,839","0,848","0,000","0,419","0,018","0,076",2022
142,Botswana*,-,"3,471","1,503","0,815","0,280","0,571","0,102","0,012",2022
143,Rwanda*,-,"3,268","0,785","0,133","0,462","0,621","0,544","0,187",2022
144,Zimbabwe,Sub-Saharan Africa,"2,995","0,947","0,690","0,270","0,329","0,105","0,106",2022
145,Lebanon,Middle East and Northern Africa,"2,955","1,392","0,498","0,631","0,103","0,034","0,082",2022
146,Afghanistan,Southern Asia,"2,404","0,758","0,000","0,289","0,000","0,005","0,089",2022
